,Marital status,Application mode,Application order,Course,Daytime_evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
1253,1,,1,9238,1,1,126,1,38,38,7,8,,,,0,1,0,0,19,0,0,6,11,4,12.75,0,0,6,7,6,11.33333333,0,7.6,2.6,0.32
1255,4,39,1,9130,1,1,133.1,1,3,1,5,,110,1,0,0,1,0,1,30,0,0,6,7,0,0,0,0,,16,1,10,0,11.1,0.6,2.02
1256,1,17,1,9238,1,,,1,19,38,5,5,115,1,0,0,1,0,0,,0,0,6,6,6,12,0,0,6,7,6,12.85714286,0,11.1,0.6,2.02
1257,1,1,3,9556,1,1,132,1,38,37,7,7,119,,0,0,1,0,0,19,0,0,7,9,7,11.67777778,0,0,8,8,8,,0,12.7,,-1.7
1258,1,1,4,9500,1,1,132,1,,37,4,7,121.8,1,0,0,1,,1,,0,,8,8,7,13.6,0,0,8,8,7,13.6,0,12.7,,-1.7
1259,1,1,,,1,1,143,1,19,38,9,9,133.4,1,,0,1,,,19,0,0,6,7,6,16,0,0,6,8,6,15.875,,12.4,,1.79
1260,1,1,3,9238,1,1,137,1,,1,,3,131.4,,0,0,1,0,0,20,0,0,,9,5,11.8,0,0,6,7,6,11.5,0,7.6,2.6,0.32
1261,1,42,1,9119,1,,130,1,,,9,,135,0,,1,1,1,0,25,0,0,,5,0,0,0,2,6,7,,14,0,13.9,,0.79
1262,1,1,2,9773,1,1,121,1,19,19,9,9,,0,0,0,1,1,0,19,0,0,6,0,0,0,0,,6,,0,0,0,12.4,0.5,1.79
1263,,39,1,9853,1,1,130,1,37,19,7,3,140,0,0,1,1,0,1,34,0,0,6,7,6,16.14285714,0,0,6,10,,16.2,0,9.4,-0.8,-3.12
1264,,18,2,9500,1,,135,1,38,37,9,5,125.3,1,0,0,1,,1,18,0,,8,8,7,,0,0,8,8,7,11.78571429,0,12.7,3.7,-1.7
1265,1,1,6,,1,1,137,1,,1,4,5,126.3,1,0,0,1,0,1,18,0,0,8,8,8,,0,0,8,8,8,13.42375,0,9.4,-0.8,-3.12
1266,1,,1,9670,1,1,100,1,38,38,9,10,100,0,0,0,1,0,0,,0,0,6,8,,12.5,0,0,6,10,5,14.16666667,0,11.1,0.6,2.02
1267,1,17,2,9500,1,1,127,1,19,37,,,121.3,1,0,0,1,0,1,20,0,0,8,8,7,12.46428571,,0,,8,7,12.46428571,0,10.8,1.4,1.74
1269,1,39,1,,,1,140,1,37,37,6,6,,0,0,0,1,0,0,28,0,,6,8,1,10,0,0,6,,0,0,0,10.8,1.4,
1271,1,43,1,9147,1,1,131,1,19,38,,9,129.7,1,0,0,1,0,0,19,0,0,5,5,,12.6,0,0,5,,4,12.4,,16.2,0.3,-0.92
1272,2,1,1,9147,1,1,,1,38,37,9,8,132.1,1,0,0,1,0,,34,0,0,5,7,2,10,0,0,5,6,4,12,0,7.6,2.6,0.32
1273,2,51,1,9853,1,1,,1,37,37,7,8,120.3,,0,0,1,0,0,35,0,0,7,,0,0,0,0,6,0,0,0,0,8.9,1.4,3.51
1274,1,7,1,9991,0,40,120,,37,37,9,7,120,0,0,0,1,0,0,32,0,0,5,7,5,11.6,0,0,5,8,5,,,12.4,0.5,1.79
1275,1,17,2,9254,1,1,136,1,19,19,4,7,,1,0,0,1,0,0,19,,0,6,8,6,12.16666667,0,0,6,,6,13.5,0,11.1,0.6,2.02
1276,1,17,5,9670,1,1,125,1,1,19,9,7,119.4,1,0,,,0,,18,0,0,6,10,4,13.6,0,0,,7,5,12.66666667,,11.1,0.6,2.02
1277,2,39,1,9147,,1,133.1,1,37,37,9,9,140,0,0,0,0,0,0,35,,0,5,8,,12.5,1,0,5,8,5,11.8,,9.4,,-3.12
1279,,17,1,9238,1,1,,1,19,37,9,9,113,1,,0,1,0,1,,0,0,6,7,,11.71428571,0,0,6,,6,12.625,0,13.9,-0.3,
1280,1,,3,9773,1,1,143,11,19,19,4,9,133.9,,0,0,1,1,1,18,1,0,6,7,6,13.5,0,0,,7,6,13,0,,0.3,-0.92
1281,1,1,3,9500,1,1,133.1,,38,19,7,9,115.5,1,0,0,1,1,1,,0,0,8,8,7,,0,,8,8,7,13.02428571,0,10.8,1.4,1.74
1282,1,17,5,9254,1,1,121,1,1,19,4,7,116.5,,0,0,0,1,0,18,,0,6,,0,0,0,0,6,0,0,0,0,9.4,-0.8,-3.12
1283,1,1,,9119,1,1,168,1,19,19,4,4,171.2,0,0,0,1,1,1,18,0,0,,6,5,17.33333333,0,0,5,8,5,18.57142857,0,,0.5,
1284,1,1,1,9670,1,1,124,,19,37,5,7,119.1,0,0,0,1,1,1,,0,0,5,7,,,0,0,5,,4,11.5,,9.4,-0.8,-3.12
1285,1,17,2,9853,1,1,127,,,38,,3,121.1,1,0,0,,1,0,19,0,,7,10,6,13.66666667,0,0,7,9,6,12.5,0,12.4,0.5,1.79
1287,1,1,1,9238,1,1,137,1,19,1,9,9,132.8,0,,0,1,1,0,19,0,0,6,6,,,0,0,6,8,6,11.83333333,0,10.8,1.4,1.74
1288,1,,1,9773,1,1,120,1,36,37,0,0,126.7,1,0,0,1,1,,20,,0,6,9,5,12.6,0,0,6,11,4,,0,7.6,2.6,0.32
1289,1,,1,9500,1,1,110,1,19,19,9,7,105.8,1,0,0,1,1,0,22,0,0,,8,,,0,0,8,9,,13.77142857,0,11.1,0.6,2.02
1291,1,1,1,,,1,143,1,38,38,9,9,,0,0,0,1,1,0,19,0,0,8,8,7,14.28571429,0,0,8,8,7,14.28571429,0,12.7,3.7,-1.7
1292,1,,1,9003,1,39,,1,1,19,9,7,120,0,0,0,1,,0,22,0,,6,,3,11.75,0,0,6,12,2,10,0,13.9,-0.3,0.79
1293,1,17,5,9119,1,,124,11,4,,2,9,119.5,1,0,0,1,1,0,20,1,0,5,5,5,14.8,0,0,5,5,5,17.6,0,8.9,1.4,3.51
1294,2,39,1,,1,,,1,1,41,9,3,153.9,0,0,1,0,1,0,34,0,0,6,7,0,0,0,0,6,,0,0,0,12.4,0.5,1.79
1295,2,39,,8014,,19,133.1,1,1,1,4,4,130,0,0,,1,,0,24,0,0,6,,1,10,,0,5,,0,,0,16.2,0.3,
1296,,39,,9670,1,1,150,1,34,34,0,,107,1,0,0,1,1,0,26,0,0,,5,0,0,0,0,5,5,,0,0,7.6,2.6,0.32
1297,1,39,1,9500,1,1,140,1,37,37,9,6,,0,0,0,1,,,35,0,0,7,10,4,12.6,0,0,7,9,5,12.38,0,12.4,,
1298,1,1,1,9991,0,1,145,1,2,37,4,9,127.5,1,0,,1,1,0,22,0,0,5,9,5,12.42857143,1,0,5,7,5,,,7.6,2.6,0.32
1300,1,,1,9147,1,1,123,1,1,19,3,4,122,,0,0,1,1,,19,0,0,5,7,3,12.33333333,0,,,5,0,0,0,8.9,1.4,3.51
1301,1,1,5,9254,1,1,120,1,3,19,3,9,114.8,1,0,0,0,1,0,19,,0,6,0,0,0,0,0,6,0,0,0,0,8.9,1.4,
1302,,44,1,171,1,39,140,1,3,3,2,2,140,0,0,1,1,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,2.8,-4.06
1303,1,51,1,9670,1,1,126,1,3,3,1,10,111,0,0,1,1,1,0,21,0,5,11,12,10,12.1,0,2,8,9,8,13.33333333,,,0.6,2.02
1304,1,1,2,9773,1,,137,1,1,19,,7,133.2,1,0,,1,0,1,19,,0,6,7,6,14.71428571,0,0,6,6,6,15,0,13.9,-0.3,0.79
1305,1,1,3,9773,,1,130,1,19,19,9,9,123,1,0,0,1,,0,18,0,0,,6,6,,0,0,6,7,6,12.83333333,0,,3.7,-1.7
1306,1,53,1,9003,1,42,150,1,1,38,8,8,150,0,0,0,1,0,1,23,0,7,12,,12,14.38461538,0,5,,12,10,13.3,0,8.9,1.4,3.51
1307,1,17,3,,1,1,147,1,19,38,5,7,132.3,1,0,0,,0,1,18,,0,5,5,5,13.4,0,0,5,6,5,12.2,0,12.7,3.7,-1.7
1308,1,18,,,1,1,140,1,37,38,5,7,126,1,0,0,1,0,0,18,0,0,,8,7,13.31428571,0,,8,8,7,13.31428571,0,12.7,3.7,-1.7
1309,1,1,,9500,,,132,,38,38,9,9,119.3,1,0,0,1,0,0,19,0,0,8,8,7,11.98857143,0,0,8,8,7,11.98857143,0,10.8,1.4,1.74
1310,,53,1,9147,1,42,130,,1,19,143,172,133.8,1,0,,1,,0,21,0,6,11,17,,11.54545455,0,3,9,13,8,12.88888889,0,8.9,1.4,3.51
1311,1,1,1,9085,1,1,130,1,37,37,,6,126.5,1,0,,1,0,1,18,0,0,6,13,6,16.46153846,0,0,6,8,6,13.875,0,15.5,2.8,-4.06
1312,1,1,1,9773,1,1,151,,38,37,,5,138.4,1,0,0,1,0,1,24,0,0,6,7,,13.66666667,0,0,6,6,6,,0,10.8,1.4,1.74
1313,1,1,4,9500,,1,144,1,3,39,2,3,129,1,0,0,1,0,0,18,0,0,7,8,7,12.65,0,0,8,9,8,13.41111111,0,16.2,0.3,
1315,1,17,2,9500,1,1,131,1,19,37,9,7,129.8,1,0,0,1,0,0,20,0,0,7,8,6,14.37,0,0,8,10,7,14.65,0,12.4,0.5,1.79
1317,1,1,5,9773,1,1,130,1,34,38,0,8,128.3,1,0,0,0,0,1,18,0,0,6,12,3,12,0,0,6,15,3,,0,7.6,2.6,0.32
1318,1,43,1,9254,1,1,130,1,1,19,5,7,130,0,0,0,1,0,1,19,0,0,6,11,4,12,0,0,6,14,3,11,0,10.8,1.4,
1319,,17,2,9853,1,1,131,1,,38,4,8,121.9,1,0,0,1,0,0,19,,0,6,10,5,12.6,0,0,6,7,5,11.2,0,10.8,1.4,1.74
1320,1,1,5,9238,1,3,135,1,1,38,9,3,129.4,0,0,1,1,0,0,18,0,0,6,6,,12.16666667,0,0,,6,6,12.33333333,0,10.8,1.4,1.74
1322,1,1,5,9500,1,,145,1,38,38,9,9,125.5,1,0,0,1,0,1,,0,0,8,,8,,0,0,8,8,8,,,9.4,,-3.12
1323,1,17,,9556,1,1,118,1,38,38,5,5,117.8,,0,0,,0,1,19,0,0,7,11,6,12.4,0,0,7,8,6,,0,11.1,0.6,2.02
1325,1,1,2,9500,1,1,152,1,37,37,9,9,,1,,0,1,0,0,18,,0,7,7,6,14.33333333,0,0,7,7,6,14.33333333,0,7.6,2.6,0.32
1327,1,17,1,9254,1,1,,1,34,38,0,7,137.7,1,0,1,0,0,0,19,0,,6,14,1,10,0,,6,13,0,0,0,7.6,2.6,0.32
1328,1,1,4,9500,1,1,,1,1,1,3,3,,1,,0,1,0,0,,,0,7,8,7,14.69625,0,0,8,9,8,14.62222222,0,12.4,0.5,1.79
1330,1,,3,9556,1,1,131,1,19,38,9,7,128.5,0,,0,1,0,1,18,,0,7,9,7,12.85555556,0,0,8,8,8,13.9125,0,12.7,3.7,-1.7
1331,1,1,1,9500,1,1,141,1,1,1,3,10,142.8,0,0,0,,0,0,18,0,0,7,7,7,13.7,0,,,9,8,13.99444444,0,11.1,0.6,2.02
1332,1,1,1,9130,1,1,,1,3,1,1,3,,0,0,0,,,0,23,0,0,5,,0,0,3,1,5,10,,12,3,10.8,1.4,1.74
1334,1,1,1,9500,1,1,133,1,38,38,5,5,123.2,0,,,1,0,0,18,0,0,7,7,,13.28571429,0,0,8,9,8,13.33333333,0,,0.3,-0.92
1338,1,43,1,9130,1,1,120,1,1,19,9,9,120,,,0,1,,0,21,0,0,6,14,5,11.5,1,,6,13,5,11,1,15.5,2.8,-4.06
1339,1,18,1,9500,1,1,130,1,37,38,7,,119.3,1,0,0,1,0,1,19,0,0,8,8,7,,,0,8,8,7,11.4,0,10.8,1.4,1.74
1340,1,44,,9238,1,1,120,1,37,37,6,9,121,0,0,0,1,0,1,,,3,6,6,6,12.33333333,0,2,6,8,6,11.33333333,0,13.9,-0.3,0.79
1341,1,1,5,9773,1,1,138,1,19,19,9,9,139.4,1,0,0,1,0,0,18,0,0,6,7,5,,0,0,6,10,4,,0,,1.4,1.74
1342,1,17,1,9085,,1,124,1,19,38,,7,,1,0,0,1,0,1,20,0,0,5,8,5,12,1,0,5,,,,1,12.7,3.7,-1.7
1343,1,1,,9853,1,1,133,1,37,37,9,7,124.6,,0,0,1,0,1,,0,0,6,8,5,13,0,0,6,9,5,13.5,,9.4,-0.8,
1344,1,17,,9070,1,1,122,1,1,1,4,8,123.8,1,,1,0,0,1,18,0,0,6,6,6,11.83333333,0,,6,8,6,11,0,12.7,3.7,-1.7
1345,1,1,3,9085,1,1,138,1,1,3,4,,126.3,1,,0,1,0,0,18,0,0,,8,,14,,0,6,,6,13.33333333,0,,1.4,3.51
1346,1,17,,9773,1,1,134,1,1,1,3,3,120.4,1,0,,1,,1,,0,0,6,,6,12.33333333,0,,6,6,6,13.5,0,16.2,,-0.92
1349,1,39,1,9085,1,19,133.1,,19,19,4,9,139.9,1,,0,1,0,1,24,0,1,6,7,6,12.5,0,0,6,11,6,12.83333333,0,8.9,1.4,3.51
1350,,1,1,171,1,1,142,1,1,1,,3,133.3,1,,0,1,0,0,19,0,,0,0,0,0,0,0,0,0,,0,0,,1.4,1.74
1351,1,1,,,,1,141,1,19,19,9,9,126,1,0,0,1,0,0,,0,0,8,8,7,15.65714286,0,0,8,8,7,15.65714286,0,12.7,3.7,
1352,1,,2,9070,1,1,145,1,1,19,4,3,133.5,0,0,0,,0,0,19,0,0,6,6,6,,0,0,6,,6,,0,12.7,3.7,-1.7
1353,1,17,2,,1,1,145,1,38,19,4,9,127.9,1,0,0,1,0,0,19,0,,,0,0,0,0,0,6,0,0,0,0,10.8,1.4,1.74
1356,1,39,1,9773,1,1,140,1,34,,0,0,102.5,0,0,0,1,0,0,26,0,0,6,8,4,11.75,0,0,6,12,,0,0,,2.6,0.32
1357,1,39,1,,1,19,133.1,1,19,1,9,5,97,0,0,1,0,1,0,36,0,0,5,10,0,0,0,0,5,,0,0,0,15.5,,-4.06
1358,1,17,1,171,1,1,128,1,1,1,4,10,134.7,0,0,0,0,1,0,19,0,0,,0,0,0,0,0,0,0,0,,0,10.8,1.4,1.74
1359,1,42,1,9119,,1,120,1,19,37,9,9,113.8,0,0,0,0,1,0,27,0,0,5,0,0,0,0,0,,0,0,0,0,15.5,,-4.06
1360,1,1,4,9119,,,120,1,3,1,,152,116.9,,0,0,1,1,0,18,0,,5,9,1,13,0,0,5,5,0,0,0,8.9,1.4,3.51
1361,1,1,4,9500,1,1,139,1,37,38,9,9,124,1,0,0,1,1,1,,0,0,8,8,7,13.33142857,0,0,8,8,,,0,10.8,1.4,1.74
1362,1,39,1,9070,1,1,139.3,1,38,,5,5,117.5,0,0,0,,1,0,28,0,0,6,0,0,0,0,0,6,0,0,0,,12.4,0.5,1.79
1363,1,44,1,171,,39,150,,19,1,9,9,154.8,1,0,0,1,1,0,,0,0,0,0,0,,0,0,0,0,0,0,0,12.4,,1.79
1364,1,1,1,9500,1,1,138,1,19,37,4,9,141,0,0,0,1,1,0,19,0,0,,7,6,13.7,0,0,7,7,6,,0,7.6,2.6,0.32
1365,1,39,1,9670,1,9,133.1,1,6,22,3,,120,0,0,1,0,1,0,26,0,0,5,5,,0,0,0,5,5,0,0,5,9.4,-0.8,-3.12
1366,,,1,9119,1,1,136,1,1,19,3,5,133.6,1,0,0,1,1,0,20,0,,,12,,13.45454545,0,2,,9,6,13.875,0,11.1,0.6,2.02
1367,1,1,6,9500,1,1,,1,38,38,9,,122,1,0,0,1,1,0,19,0,0,8,8,7,,0,,8,8,7,12.2,0,12.7,3.7,
1368,1,1,1,,1,1,140,1,19,19,7,3,,1,0,0,1,1,0,21,0,0,5,8,3,10,0,0,5,10,4,11,0,12.7,,-1.7
1369,1,53,1,9670,1,42,110,1,1,19,9,9,114.2,0,0,0,1,1,1,23,0,0,6,7,5,13,0,0,6,7,6,12.85714286,0,8.9,1.4,3.51
1370,1,39,1,8014,0,38,133.1,1,38,37,,8,95.5,0,0,0,1,1,0,29,0,0,6,11,6,12,0,,6,6,6,,0,11.1,0.6,2.02
1371,1,1,1,9500,1,1,,1,1,1,9,9,,,0,0,1,1,0,20,0,0,8,,7,15.02857143,0,0,8,8,7,15.02857143,0,,3.7,-1.7
1372,1,1,1,9238,1,1,116,1,1,19,5,9,111.1,0,,0,1,1,0,18,0,0,6,8,6,,0,0,,7,6,11.71428571,,15.5,2.8,-4.06
1373,1,1,1,9773,1,1,130,,1,38,3,5,128.6,1,0,0,,1,0,19,0,0,6,8,5,12,0,,6,8,5,12.4,0,9.4,-0.8,-3.12
1374,1,,1,9556,1,3,130,1,1,37,4,8,,0,0,0,0,1,0,23,0,3,7,7,3,13.66666667,0,3,,8,3,11.33333333,4,,1.4,1.74
1375,1,1,1,171,1,1,116,1,,1,5,1,111.1,0,0,0,1,,0,21,0,0,,0,0,0,0,0,0,0,0,,0,13.9,-0.3,0.79
1377,1,1,1,,1,1,147,,37,19,7,7,134.4,,0,0,1,1,1,18,0,0,0,0,0,,0,0,0,0,0,0,0,10.8,1.4,1.74
1378,1,1,5,9070,1,1,117,1,19,37,5,5,131,1,0,1,0,1,0,,0,0,6,6,,14,0,0,,7,0,0,7,9.4,-0.8,
1379,1,51,1,9238,1,1,141,1,1,1,5,,125,0,0,,1,1,0,,0,0,,6,0,0,0,0,6,7,0,0,,11.1,0.6,2.02
1380,1,,1,9556,1,1,133.1,1,3,,2,,106,1,0,0,1,1,0,21,0,0,7,8,,,0,0,7,11,,12.58333333,0,8.9,1.4,3.51
1381,1,39,1,9500,1,1,133.1,1,38,19,9,9,128,1,0,0,0,1,0,32,0,0,,0,,0,0,0,8,0,0,0,0,16.2,0.3,-0.92
1382,1,7,1,9003,1,3,120,1,1,19,4,,120,1,0,0,1,1,0,27,0,14,18,,18,11.42105263,0,10,13,16,,11.07692308,1,15.5,2.8,-4.06
1383,1,1,1,9500,1,1,148,1,19,38,,8,134.8,1,0,0,1,1,0,18,0,,,7,6,13.35,0,,7,7,6,13.35,0,7.6,2.6,0.32
1384,1,39,1,9070,1,1,130,1,1,1,5,,112,1,0,,1,,1,24,0,0,,6,6,15,0,0,6,6,2,16,0,,2.8,-4.06
1385,,1,1,9130,1,1,120,1,19,37,1,9,116.1,1,0,0,1,1,0,22,0,0,5,9,2,10.5,0,0,5,5,0,0,0,12.7,3.7,-1.7
1386,1,43,1,9130,1,1,120,1,2,3,3,,120,1,0,0,0,1,0,22,0,0,6,0,0,,0,0,,,0,0,2,10.8,,1.74
1387,1,1,3,9147,1,1,133,1,37,37,9,5,119.7,1,0,0,1,1,0,19,0,0,5,8,,13.25,0,0,5,6,,11.83333333,0,13.9,-0.3,0.79
1388,1,17,6,9119,1,1,129,1,37,13,,90,117.1,1,0,0,,1,,19,0,0,5,10,0,0,0,,5,5,0,0,0,7.6,2.6,0.32
1390,1,1,2,9500,1,1,,1,1,1,2,7,131,1,0,0,,0,1,18,0,,8,8,8,13.88125,0,0,8,8,8,13.88125,0,9.4,-0.8,-3.12
1391,1,1,2,9254,1,,127,1,3,,3,10,130.9,1,0,0,,0,0,18,0,,6,8,6,11.33333333,0,0,6,8,5,12.6,0,9.4,-0.8,-3.12
1392,1,1,1,171,,1,131,1,19,19,9,9,134.9,1,0,1,1,0,0,20,0,0,0,0,,0,0,0,0,0,0,0,0,16.2,0.3,-0.92
1393,1,17,1,9238,,1,132,1,1,19,4,9,127.1,1,0,0,1,0,0,19,0,,6,7,6,12.85714286,0,0,6,7,6,13.66666667,0,13.9,-0.3,0.79
1394,1,,5,9773,1,1,113,1,38,38,191,175,110.2,1,0,1,1,0,0,19,0,0,6,6,5,11.6,0,0,6,6,,12.5,,8.9,1.4,3.51
1395,1,17,1,,1,,115,1,12,1,9,3,,1,0,0,1,0,1,18,0,0,6,,5,11.4,0,0,6,6,6,11.33333333,0,12.4,0.5,1.79
1397,1,44,1,9070,1,39,150,1,12,37,3,,147.7,0,0,1,1,0,1,22,0,2,7,7,7,,,5,9,9,9,13.77777778,0,12.4,,1.79
1398,2,39,1,9556,,19,133.1,1,37,38,9,9,123,0,0,0,1,0,0,,0,0,7,13,6,11.83333333,0,0,,8,7,12.22857143,0,12.4,0.5,1.79
1399,1,17,1,9853,1,1,141,1,19,19,9,8,142.8,,0,0,1,0,1,19,0,0,7,7,7,14.42857143,0,0,7,7,7,14.14285714,0,16.2,0.3,-0.92
1401,1,1,2,9254,1,,,1,38,,9,7,125.2,1,0,0,1,0,1,18,0,0,6,,6,12.28571429,0,0,6,9,5,12.4,,8.9,1.4,3.51
1402,1,1,1,9085,1,1,140,1,12,1,1,90,,0,0,0,1,0,0,21,0,0,5,7,5,14.4,0,0,,5,5,13.8,0,7.6,2.6,0.32
1403,1,17,,9500,1,1,143,1,38,1,,7,130.6,1,0,0,1,0,1,18,0,0,7,8,7,13.15,0,0,8,9,8,15.06875,0,13.9,-0.3,0.79
1404,1,44,1,9147,1,39,130,22,2,37,2,8,130,0,0,1,0,1,0,25,1,,5,6,,0,0,0,5,5,,0,0,15.5,2.8,-4.06
1405,1,15,1,9119,1,1,133.1,41,1,3,5,,100,0,0,1,1,1,0,21,1,0,5,5,,0,0,0,6,8,0,0,0,11.1,0.6,2.02
1406,,18,2,9500,1,1,129,1,38,,5,5,,1,0,0,1,0,1,19,0,0,8,8,7,12.34285714,0,0,8,8,7,12.34285714,,10.8,1.4,1.74
1408,1,17,1,9254,1,1,118,1,11,34,5,,122.2,1,0,0,1,0,0,22,,0,6,10,4,,0,0,6,14,1,11,0,7.6,2.6,0.32
1409,1,15,1,9147,1,1,150,,,1,9,1,150,0,0,0,1,1,0,,0,0,5,5,,,0,0,5,8,5,11.6,0,12.4,,1.79
1410,1,39,1,8014,0,,133.1,1,,37,9,5,,0,0,0,1,,0,58,0,0,,6,,0,0,0,6,6,0,0,,11.1,0.6,2.02
1411,1,16,2,9238,1,1,122,1,19,,9,7,,1,0,0,,0,1,19,,0,6,,4,11.25,0,,6,6,6,,0,10.8,1.4,1.74
1412,1,43,1,9670,1,1,127,22,37,37,9,9,127,1,0,0,1,1,0,23,1,3,9,11,6,10.5,0,4,10,10,,11.7,0,9.4,-0.8,
1414,1,18,3,9500,1,1,131,,19,1,4,,127.5,1,0,0,1,0,0,18,0,0,7,7,7,13.45714286,0,0,8,8,8,14.5125,0,13.9,-0.3,0.79
1415,1,1,2,9085,1,1,130,1,19,19,90,90,122,0,0,0,1,0,0,,0,0,5,6,5,12.6,0,0,5,8,4,12.33333333,0,7.6,2.6,0.32
1416,1,17,5,9085,1,1,130,1,19,19,90,7,115.8,0,0,0,0,0,0,18,0,,6,0,,0,0,0,6,0,0,0,0,,3.7,-1.7
1417,1,17,,9670,1,1,130,1,3,19,5,5,121.6,0,0,0,1,0,0,18,0,0,6,6,6,,0,0,6,8,5,,0,8.9,1.4,3.51
1418,1,17,4,9147,1,,122,1,19,19,5,7,116.4,1,,1,1,0,1,18,0,0,5,5,5,11.6,0,0,5,5,5,11.8,0,11.1,0.6,2.02
1419,1,39,1,9130,,1,114,,38,38,9,10,120,0,0,0,1,,0,24,0,0,,9,6,12.57142857,0,0,6,10,5,12.83333333,0,11.1,0.6,2.02
1420,,17,4,9853,1,1,143,,37,37,9,5,127.3,1,0,0,1,,0,18,0,0,6,,5,11.8,0,0,6,7,5,11.4,0,10.8,1.4,1.74
1422,1,17,3,9238,1,1,141,1,19,38,9,7,125.6,1,,0,1,0,1,19,0,0,6,8,6,11.33333333,0,,6,,6,11.83333333,0,8.9,,
1423,1,1,1,9254,1,1,129,1,38,38,6,6,118.5,1,0,0,1,,0,18,,,6,6,6,10.66666667,0,0,6,6,6,11.5,0,7.6,2.6,0.32
1425,,1,1,171,,1,137,1,19,19,5,5,134.6,1,0,0,,0,1,19,0,0,0,0,,0,0,0,0,0,0,0,0,10.8,1.4,1.74
1426,1,44,1,9085,1,1,,1,4,4,2,6,140,0,0,,1,0,,22,0,2,6,9,6,13.33333333,0,1,6,,4,11.5,0,13.9,-0.3,0.79
1429,1,17,1,9773,1,1,120,1,19,38,9,7,117.9,1,0,0,1,0,1,21,0,0,6,,5,13,0,0,6,7,6,,0,8.9,1.4,3.51
1430,1,1,3,9500,1,1,,1,38,,5,7,128,1,,0,1,0,1,18,0,0,8,11,7,12.90857143,0,0,8,11,7,12.90857143,0,10.8,1.4,1.74
1431,1,1,5,9853,1,1,123,1,1,12,4,9,113.2,,0,0,1,0,0,20,0,0,6,12,4,12,0,,6,,1,10,0,,1.4,1.74
1433,1,16,3,9070,1,1,152,1,1,38,4,8,156.9,,0,0,1,0,,,0,0,6,6,6,15.33333333,0,0,6,9,6,15.83333333,0,,3.7,-1.7
1435,1,15,1,9147,1,,133.1,41,,1,3,4,100,0,0,,0,1,0,26,1,6,7,7,6,13,0,,6,6,2,,0,11.1,0.6,2.02
1437,2,39,1,8014,0,1,140,,37,37,9,9,101,0,0,0,1,0,0,35,0,0,6,7,6,12.5,0,0,6,6,6,12.16666667,,15.5,2.8,-4.06
1438,1,18,1,9670,1,1,133,1,1,1,9,9,121.5,1,0,0,1,,1,19,0,0,6,7,6,13,0,0,6,,6,14.33333333,0,12.4,0.5,
1439,1,1,1,9085,1,1,138,1,38,37,9,6,,1,0,0,1,,0,,0,0,5,6,4,11.75,0,0,5,10,5,12.57142857,1,10.8,1.4,1.74
1440,,1,5,9670,1,1,142,1,19,19,7,3,132.9,,0,0,1,1,0,19,0,0,5,5,,12.5,0,0,5,5,4,14.25,,7.6,2.6,0.32
1441,1,1,1,171,1,,115,1,1,1,9,9,134.3,1,0,0,,1,0,25,,16,17,19,17,11.61111111,0,14,17,22,17,12.05555556,0,12.4,0.5,1.79
1442,1,17,6,9254,1,1,125,1,1,1,4,3,120.5,1,0,0,1,1,0,18,0,0,6,6,6,14,0,0,6,6,6,14.66666667,0,11.1,,2.02
1443,1,17,,9003,1,1,170,1,1,4,9,5,144.1,1,0,1,0,1,0,26,0,0,6,8,,0,0,0,6,10,0,0,0,16.2,0.3,-0.92
1444,1,43,1,9991,0,1,140,1,1,1,6,6,100,0,0,0,1,1,0,34,0,0,5,5,5,13.8,0,0,5,6,5,13.83333333,0,9.4,,-3.12
1445,1,1,2,9254,1,1,110,1,4,19,4,3,114.8,1,0,0,0,1,0,18,,0,5,6,0,0,,0,5,5,0,0,0,,,-1.7
1446,1,1,1,171,1,1,114,1,3,29,,5,,0,0,0,0,1,0,18,,0,0,0,0,0,0,,0,0,0,0,0,9.4,-0.8,-3.12
1447,1,17,3,9119,1,1,138,1,1,19,4,3,125.4,1,,0,1,1,1,18,0,0,5,9,4,12.25,0,0,5,9,3,12.33333333,0,8.9,1.4,3.51
1448,1,44,1,9003,1,39,140,1,37,37,,4,140,0,,0,1,1,0,20,0,,6,12,3,11.5,0,0,6,12,3,13.66666667,0,12.4,0.5,1.79
1449,1,44,1,,1,39,140,1,,19,4,4,140,0,0,0,1,1,,25,0,2,7,9,6,,0,5,9,9,9,12.55555556,,,0.3,-0.92
1450,1,17,1,9130,1,1,132,1,2,1,4,1,127.8,0,0,0,1,1,0,18,0,0,,9,6,12,0,0,6,,5,12.16666667,0,11.1,0.6,2.02
